2017-07-17 15:45:21.965 [http-nio-8084-exec-3] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/user_06.jpg] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 15:55:11.730 [http-nio-8084-exec-3] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/js/mui.min.js] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 15:55:11.796 [http-nio-8084-exec-2] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/js/mui.min.js] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:03:50.631 [main] WARN  org.beetl.ext.spring.BeetlSpringViewResolver-Beetl不建议使用使用spring前缀，会导致include,layout找不到对应的模板，请使用beetl的配置RESOURCE.ROOT来配置模板根目录
2017-07-17 16:03:51.561 [main] WARN  o.s.boot.starter.redis.RedisStarterDeprecationWarningAutoConfiguration-spring-boot-starter-redis is deprecated as of Spring Boot 1.4, please migrate to spring-boot-starter-data-redis
2017-07-17 16:04:41.097 [http-nio-8084-exec-2] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/1.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:04:41.102 [http-nio-8084-exec-4] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/headd.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:04:41.112 [http-nio-8084-exec-6] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/add2.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:04:41.117 [http-nio-8084-exec-5] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/2.png] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 16:04:41.164 [http-nio-8084-exec-8] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/headd.png] in DispatcherServlet with name 'dispatcherServlet'
